id,start_date,end_date,entry,exit,censor,part_time,age
1,1986-01-13,1990-01-12,3.9671457905544147,3.997262149212868,0,0,31.15400410677618
2,1986-03-01,1992-08-31,3.838466803559206,6.50239561943874,0,1,29.478439425051334
3,1986-03-01,1992-09-30,3.838466803559206,6.584531143052704,1,0,37.440109514031484
4,1986-03-17,1992-09-30,3.7946611909650922,6.54072553045859,1,1,30.546201232032853
5,1986-04-01,1990-12-20,3.753593429158111,4.720054757015743,0,0,40.766598220396986
6,1986-04-17,1992-09-30,3.7097878165639973,6.455852156057495,1,0,31.98631074606434
7,1986-06-01,1992-09-30,3.586584531143053,6.33264887063655,1,1,33.40177960301163
8,1986-06-10,1990-12-01,3.561943874058864,4.476386036960986,0,0,30.743326488706366
9,1986-06-23,1990-06-27,3.5263518138261465,4.010951403148528,0,0,40.709103353867214
10,1986-06-30,1990-06-29,3.5071868583162216,3.997262149212868,0,0,32.34770704996578
11,1986-06-30,1990-06-29,3.5071868583162216,3.997262149212868,0,0,34.417522245037645
12,1986-06-30,1992-09-30,3.5071868583162216,6.253251197809719,1,0,29.87542778918549
13,1986-07-01,1990-07-01,3.5044490075290895,4,0,0,34.56810403832991
14,1986-07-01,1992-09-30,3.5044490075290895,6.250513347022587,1,0,28.632443531827516
15,1986-07-01,1990-06-30,3.5044490075290895,3.997262149212868,0,0,27.589322381930184
16,1986-07-01,1990-06-30,3.5044490075290895,3.997262149212868,0,0,28.870636550308006
17,1986-07-01,1990-06-30,3.5044490075290895,3.997262149212868,0,0,29.82340862422998
18,1986-07-01,1990-06-30,3.5044490075290895,3.997262149212868,0,0,31.980835044490075
19,1986-07-01,1990-06-30,3.5044490075290895,3.997262149212868,0,0,30.455852156057496
20,1986-07-01,1990-06-30,3.5044490075290895,3.997262149212868,0,0,29.251197809719372
21,1986-07-01,1990-06-30,3.5044490075290895,3.997262149212868,0,0,26.8145106091718
22,1986-07-01,1990-06-30,3.5044490075290895,3.997262149212868,0,0,30.308008213552363
23,1986-07-01,1990-12-01,3.5044490075290895,4.418891170431212,0,0,33.79876796714579
24,1986-07-01,1992-09-30,3.5044490075290895,6.250513347022587,1,0,51.60301163586585
25,1986-07-01,1992-09-30,3.5044490075290895,6.250513347022587,1,0,29.34428473648186
26,1986-07-01,1990-07-31,3.5044490075290895,4.082135523613963,0,0,29.79876796714579
